
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
NEW       01-002433 O US AL LANETT           32 49 50.57N 085 12 25.36W TOWER              1 00206 00863 D 1 A N 2025ASO05135OE C2025263 
OLD       01-002442 O US AL TITUS            32 39 09.00N 086 14 47.00W TOWER              1 00270 00695 M 2 C N 2000ASO06580OE C2014138 
NEW       01-002442 O US AL WETUMPKA         32 39 08.87N 086 14 47.44W TOWER              1 00256 00681 M 2 C N 2025ASO02726OE C2025263 
OLD       01-002491 O US AL OPP              31 11 12.20N 086 17 00.39W TOWER              1 00309 00583 D 1 A N 2006ASO06519OE C2007042 
NEW       01-002491 O US AL OPP              31 11 12.20N 086 17 00.39W TOWER              1 00308 00581 D 1 A N 2025ASO00221OE C2025263 
OLD       01-002501 O US AL ATTALLA          34 02 37.00N 086 07 29.00W TOWER              1 00320 00991 D 2 C N 2000ASO09028OE C2001127 
NEW       01-002501 O US AL ATTALLA          34 02 36.77N 086 07 28.53W TOWER              1 00312 00983 D 2 C N 2025ASO02724OE C2025263 
OLD       01-002502 O US AL CARLISLE         34 07 41.00N 086 07 03.00W TOWER              1 00320 01399 D 2 C N 2000ASO08013OE C2002076 
NEW       01-002502 O US AL BOAZ             34 07 40.77N 086 07 03.40W TOWER              1 00305 01384 D 2 C N 2025ASO04803OE C2025263 
OLD       01-002534 O US AL GREENSBORO       32 43 03.00N 087 35 21.00W TOWER              1 00350 00583 D 2 C N 2001ASO02251OE C2001351 
NEW       01-002534 O US AL GREENSBORO       32 43 02.79N 087 35 21.13W TOWER              1 00349 00582 D 2 C N 2025ASO01974OE C2025263 
