
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       21-001994 O US KY LONDON           37 11 18.15N 084 08 34.44W TOWER              1 00246 01483 D 1 A N 2007ASO05419OE C2007315 
NEW       21-001994 O US KY EAST BERNSTADT   37 11 18.12N 084 08 38.45W TOWER              1 00246 01483 D 1 A N 2024ASO22442OE C2025263 
OLD       21-002003 O US KY LEWISPORT        37 55 46.00N 086 52 40.00W TOWER              1 00300 00770 D 2 C N 2003ASO03016OE C2003327 
NEW       21-002003 O US KY LEWISPORT        37 55 45.82N 086 52 39.86W TOWER              1 00288 00758 D 2 C N 2025ASO03844OE C2025263 
OLD       21-002005 O US KY MONTICELLO       36 53 52.10N 084 47 02.50W TOWER              1 00309 01469 D 2 C N 2008ASO06090OE C2008351 
NEW       21-002005 O US KY MONTICELLO       36 53 52.10N 084 47 02.50W TOWER              1 00309 01469 D 2 C N 2024ASO18009OE C2025263 
OLD       21-002007 O US KY GRATZ            38 32 36.00N 084 58 32.00W TOWER              1 00333 01175 D 2 C N 2002ASO03966OE A2003215 
NEW       21-002007 O US KY OWENTON          38 32 36.10N 084 58 31.86W TOWER              1 00333 01174 D 2 C N 2025ASO05414OE C2025263 
OLD       21-002011 O US KY CANNEL CITY      37 50 19.00N 083 17 44.00W TOWER              1 00325 01605 D 5 E N 2003ASO03237OE A2003243 
NEW       21-002011 O US KY CANNEL CITY      37 50 18.60N 083 17 43.35W TOWER              1 00310 01586 D 2 C N 2024ASO06179OE C2025263 
OLD       21-002013 O US KY NEW HAVEN        37 39 33.00N 085 37 57.00W TOWER              1 00255 01088 D 1 A N 2002ASO05168OE A2003265 
NEW       21-002013 O US KY NEW HAVEN        37 39 32.54N 085 37 56.70W TOWER              1 00255 01088 D 1 A N 2024ASO20342OE C2025263 
OLD       21-002026 O US KY EDMONTON         37 02 38.69N 085 27 43.83W TOWER              1 00255 01228 D 1 A N 2003ASO04691OE A2004074 
NEW       21-002026 O US KY COLUMBIA         37 02 38.69N 085 27 43.83W TOWER              1 00255 01228 D 1 A N 2025ASO00909OE C2025263 
OLD       21-002035 O US KY WHITES           37 37 50.49N 084 18 16.13W TOWER              1 00238 01215 N 1 A N 2000ASO05895OE C2013234 
NEW       21-002035 O US KY BEREA            37 37 50.51N 084 18 16.11W TOWER              1 00195 01172 N 2 C N 2024ASO17344OE C2025263 
OLD       21-002037 O US KY MT VERNON        37 20 26.72N 084 22 57.71W TOWER              1 00256 01782 D 2 C N 2008ASO06088OE C2008351 
NEW       21-002037 O US KY MT VERNON        37 20 26.72N 084 22 57.71W TOWER              1 00256 01781 D 2 C N 2025ASO02321OE C2025263 
OLD       21-002052 O US KY BRODHEAD         37 23 53.39N 084 24 34.04W TOWER              1 00301 01489 D 2 C N 2004ASO04847OE A2004256 
NEW       21-002052 O US KY BRODHEAD         37 23 53.39N 084 24 34.04W TOWER              1 00304 01492 D 2 C N 2025ASO12546OE C2025265 
OLD       21-002053 O US KY BERRY            38 30 07.46N 084 14 30.47W TOWER              1 00405 01340 D 1 A N 2019ASO12262OE C2020083 
NEW       21-002053 O US KY CYNTHIANA        38 30 07.46N 084 14 30.47W TOWER              1 00405 01340 D 1 A N 2024ASO17898OE C2025263 
OLD       21-002058 O US KY CYNTHIANA        38 30 45.93N 084 17 35.97W TOWER              1 00300 01124 D 2 C N 2002ASO00496OE A2004291 
NEW       21-002058 O US KY CYNTHIANA        38 30 45.93N 084 17 35.97W TOWER              1 00300 01124 D 2 C N 2024ASO19470OE C2025263 
OLD       21-002075 O US KY RUSSELL SPRINGS  37 05 19.78N 084 54 47.30W TOWER              1 00349 01437 D 1 A N 2002ASO00215OE A2004361 
NEW       21-002075 O US KY RUSSELL SPRINGS  37 05 19.78N 084 54 47.30W TOWER              1 00349 01437 D 1 A N 2024ASO18003OE C2025263 
OLD       21-002080 O US KY FOSTER           38 48 25.93N 084 13 29.58W TOWER              1 00325 01070 D 2 C N 2004ASO03000OE A2005009 
NEW       21-002080 O US KY FOSTER           38 48 25.93N 084 13 29.58W TOWER              1 00332 01077 D 2 C N 2025ASO11640OE C2025263 
OLD       21-002087 O US KY LONDON           37 07 05.92N 083 53 53.01W TOWER              1 00308 01802 D 4 D N 2024ASO09584OE C2024169 
NEW       21-002087 O US KY LONDON           37 07 05.92N 083 53 53.01W TOWER              1 00308 01802 D 4 D N 2024ASO12780OE C2025263 
OLD       21-002092 U US KY ADAIRVILLE       36 40 56.00N 086 51 50.51W TOWER              1 00270 00882 D 4 D N 2005ASO01947OE C2014124 
NEW       21-002092 O US KY ADAIRVILLE       36 40 56.00N 086 51 50.50W TOWER              1 00270 00882 D 1 A N 2024ASO13433OE C2025263 
OLD       21-002098 O US KY LEWISBURG        36 58 34.33N 086 57 59.77W TOWER              1 00305 00929 D 1 A N 2014ASO11081OE C2020143 
NEW       21-002098 O US KY LEWISBURG        36 58 34.33N 086 57 59.77W TOWER              1 00305 00929 D 1 A N 2024ASO20603OE C2025263 
OLD       21-002111 U US KY CARLISLE         38 23 41.34N 084 01 54.53W TOWER              1 00409 01309 D 1 A N 2019ASO13597OE C2019249 
NEW       21-002111 O US KY CARLISLE         38 23 41.34N 084 01 54.53W TOWER              1 00409 01309 D 1 A N 2024ASO21701OE C2025263 
OLD       21-002120 O US KY CARLISLE         38 18 46.36N 084 00 52.55W TOWER              1 00308 01233 D 1 A N 2019ASO13212OE C2019227 
NEW       21-002120 O US KY CARLISLE         38 18 46.36N 084 00 52.55W TOWER              1 00308 01233 D 1 A N 2024ASO13015OE C2025263 
OLD       21-002121 O US KY FLEMINGSBURG     38 24 49.20N 083 43 56.85W TOWER              1 00308 01226 D 1 A N 2019ASO11695OE C2019197 
NEW       21-002121 O US KY FLEMINGSBURG     38 24 49.20N 083 43 56.85W TOWER              1 00308 01226 D 1 A N 2024ASO17788OE C2025262 
OLD       21-002126 O US KY FLAT LICK        36 51 46.93N 083 47 01.76W TOWER              1 00307 01999 D 1 A N 2005ASO04706OE C2008122 
NEW       21-002126 O US KY FLAT LICK        36 51 46.93N 083 47 01.76W TOWER              1 00307 01999 D 1 A N 2024ASO15553OE C2025263 
OLD       21-002129 U US KY MT. OLIVET       38 32 02.19N 084 01 42.73W TOWER              1 00305 01249 D 4 D N 2005ASO04640OE C2014124 
NEW       21-002129 O US KY MOUNT OLIVET     38 32 02.19N 084 01 42.73W TOWER              1 00305 01249 D 4 D N 2024ASO13067OE C2025263 
OLD       21-002131 O US KY PLUMMERS MILL    38 17 19.11N 083 33 26.27W TOWER              1 00350 01419 D 5 E N 2004ASO01436OE C2009308 
NEW       21-002131 O US KY WALLINGFORD      38 17 19.09N 083 33 26.37W TOWER              1 00348 01419 M 4 D N 2025ASO05944OE C2025265 
OLD       21-002132 U US KY AUGUSTA          38 46 06.06N 084 00 03.45W TOWER              1 00310 01049 D 4 D N 2003ASO06054OE C2014124 
NEW       21-002132 O US KY AUGUSTA          38 46 06.06N 084 00 03.45W TOWER              1 00291 01027 D 4 D N 2024ASO20873OE C2025263 
OLD       21-002143 O US KY CAVE CITY        37 07 03.07N 085 52 50.78W TOWER              1 00255 01016 D 1 A N 2005ASO02611OE C2008157 
NEW       21-002143 O US KY CAVE CITY        37 07 03.07N 085 52 50.78W TOWER              1 00255 01015 D 1 A N 2024ASO21720OE C2025263 
OLD       21-002150 U US KY NANCY            37 05 46.40N 084 50 33.90W TOWER              1 00255 01384 D 4 D N 2005ASO03703OE C2014124 
NEW       21-002150 O US KY NANCY            37 05 46.40N 084 50 33.90W TOWER              1 00255 01384 D 1 A N 2024ASO24440OE C2025263 
OLD       21-002154 O US KY SALVISA          37 55 27.70N 084 52 18.85W TOWER              1 00332 01133 D 4 D N 2018ASO05037OE C2018170 
NEW       21-002154 O US KY SALVISA          37 55 27.70N 084 52 18.85W TOWER              1 00316 01117 D 4 D N 2025ASO12271OE C2025265 
OLD       21-002156 O US KY LAWRENCEBURG     37 59 10.48N 084 52 49.12W TOWER              1 00300 01164 D 5 D N 2005ASO06614OE C2008101 
NEW       21-002156 O US KY LAWRENCEBURG     37 59 10.20N 084 52 49.30W TOWER              1 00292 01156 D 4 D N 2025ASO01061OE C2025263 
OLD       21-002164 O US KY SOMERSET         37 03 04.67N 084 42 04.52W TOWER              1 00255 01222 D 1 A N 2005ASO05296OE C2008129 
NEW       21-002164 O US KY NANCY            37 03 04.67N 084 42 04.52W TOWER              1 00255 01222 D 1 A N 2025ASO06451OE C2025263 
OLD       21-002182 O US KY SOMERSET         37 08 48.85N 084 37 25.13W TOWER              1 00255 01366 D 1 A N 2006ASO02043OE C2008142 
NEW       21-002182 O US KY SOMERSET         37 08 48.85N 084 37 25.13W TOWER              1 00244 01355 D 1 A N 2025ASO06453OE C2025262 
OLD       21-002191 O US KY BURNSIDE         36 50 27.10N 084 28 44.20W TOWER              1 00261 01657 D 2 C N 2008ASO06016OE C2008351 
NEW       21-002191 O US KY PARKERS LAKE     36 50 27.10N 084 28 44.20W TOWER              1 00261 01657 D 2 C N 2024ASO18007OE C2025263 
OLD       21-002194 O US KY EWING            38 28 00.41N 083 54 17.88W TOWER              1 00284 01187 M 2 C N 2008ASO01432OE C2008155 
NEW       21-002194 O US KY EWING            38 28 00.11N 083 54 19.31W TOWER              1 00284 01187 M 4 D N 2025ASO02553OE C2025263 
OLD       21-002206 O US KY RUSSELLVILLE     36 45 39.54N 086 51 51.59W TOWER              1 00255 00868 D 1 A N 2006ASO05329OE C2008011 
NEW       21-002206 O US KY RUSSELLVILLE     36 45 39.54N 086 51 51.59W TOWER              1 00255 00867 D 1 A N 2024ASO21934OE C2025263 
OLD       21-002227 O US KY RUSSEL SPRINGS   37 07 44.70N 085 02 39.70W TOWER              1 00255 01318 D 1 A N 2006ASO05873OE C2007348 
NEW       21-002227 O US KY RUSSELL SPRINGS  37 07 44.70N 085 02 39.70W TOWER              1 00255 01318 D 1 A N 2024ASO20880OE C2025263 
OLD       21-002243 O US KY GREENSBURG       37 11 24.86N 085 26 58.58W TOWER              1 00255 01104 D 5 D N 2007ASO00041OE A2007294 
NEW       21-002243 O US KY GREENSBURG       37 11 24.86N 085 26 58.58W TOWER              1 00245 01099 D 4 D N 2025ASO03835OE C2025263 
OLD       21-002250 O US KY ALBANY           36 45 30.50N 085 12 09.64W TOWER              1 00255 01260 D 1 A N 2006ASO06744OE A2007266 
NEW       21-002250 O US KY ALBANY           36 45 30.50N 085 12 09.64W TOWER              1 00255 01260 D 1 A N 2024ASO20387OE C2025263 
OLD       21-002265 O US KY HORSE CAVE       37 13 36.24N 085 48 48.66W TOWER              1 00255 00959 D 1 A N 2006ASO02513OE A2007273 
NEW       21-002265 O US KY HORSE CAVE       37 13 36.24N 085 48 48.66W TOWER              1 00255 00959 D 1 A N 2024ASO20940OE C2025263 
OLD       21-002268 O US KY LEITCHFIELD      37 32 44.12N 086 18 58.38W TOWER              1 00255 00914 D 1 A N 2007ASO00377OE A2007294 
NEW       21-002268 O US KY LEITCHFIELD      37 32 44.12N 086 18 58.38W TOWER              1 00255 00914 D 1 A N 2024ASO20009OE C2025262 
OLD       21-002274 O US KY MONTICELLO       36 56 30.42N 084 43 28.58W TOWER              1 00240 01124 D 1 A N 2022ASO24831OE C2023298 
NEW       21-002274 O US KY MONTICELLO       36 56 30.42N 084 43 28.58W TOWER              1 00248 01132 D 1 A N 2024ASO23664OE C2025262 
OLD       21-002276 O US KY LEXIE            37 44 55.22N 083 24 28.57W TOWER              1 00320 01507 D 5 E N 2007ASO01389OE C2007325 
NEW       21-002276 O US KY LEXIE            37 44 54.98N 083 24 29.13W TOWER              1 00320 01507 D 4 D N 2025ASO06909OE C2025263 
OLD       21-002278 O US KY BARDSTOWN        37 42 47.08N 085 27 56.68W TOWER              1 00290 01006 D 1 A N 2007ASO01861OE C2007315 
NEW       21-002278 O US KY BARDSTOWN        37 42 47.08N 085 27 56.68W TOWER              1 00290 01006 D 1 A N 2024ASO18947OE C2025263 
OLD       21-006157 O US KY GLASGOW          36 56 47.86N 086 04 12.21W TOWER              1 00199 01005 N 2 C N 2008ASO04148OE C2011314 
NEW       21-006157 O US KY GLASGOW          36 56 47.86N 086 04 12.21W TOWER              1 00169 00975 N 2 C N 2024ASO18908OE C2025263 
OLD       21-020004 O US KY PARIS            38 08 20.09N 084 05 31.18W TOWER              1 00295 01250 D 5 D N 2007ASO06803OE C2008045 
NEW       21-020004 O US KY PARIS            38 08 20.09N 084 05 31.18W TOWER              1 00294 01249 D 4 D N 2025ASO07572OE C2025263 
OLD       21-020005 O US KY ALBANY           36 45 21.52N 085 03 35.73W TOWER              1 00258 01418 M 1 A N 2008ASO01427OE C2008164 
NEW       21-020005 O US KY ALBANY           36 45 21.52N 085 03 35.73W TOWER              1 00258 01418 M 1 A N 2024ASO18002OE C2025263 
OLD       21-020010 O US KY TOMPKINSVILLE    36 47 29.11N 085 41 06.21W TOWER              1 00255 01255 D 1 A N 2007ASO00355OE C2008018 
NEW       21-020010 O US KY TOMPKINSVILLE    36 47 29.11N 085 41 06.21W TOWER              1 00255 01255 D 1 A N 2024ASO20942OE C2025263 
OLD       21-020051 O US KY BREEDING         36 58 11.83N 085 26 00.60W TOWER              1 00255 01383 D 2 C N 2007ASO07028OE C2008177 
NEW       21-020051 O US KY BREEDING         36 58 11.83N 085 26 00.60W TOWER              1 00255 01383 D 2 C N 2024ASO23356OE C2025263 
OLD       21-020053 O US KY LEBANON          37 34 40.51N 085 08 12.54W TOWER              1 00305 01270 D 1 A N 2009ASO03323OE C2009261 
NEW       21-020053 O US KY LEBANON          37 34 40.51N 085 08 12.54W TOWER              1 00305 01270 D 1 A N 2024ASO18008OE C2025263 
OLD       21-020076 O US KY MARROWBONE       36 49 54.00N 085 30 26.77W TOWER              1 00254 01106 D 1 A N 2009ASO03324OE C2009261 
NEW       21-020076 O US KY BURKESVILLE      36 49 54.00N 085 30 26.77W TOWER              1 00254 01106 D 1 A N 2024ASO18006OE C2025262 
OLD       21-020083 O US KY FRANKLIN         36 42 03.80N 086 23 15.79W TOWER              1 00255 00997 D 2 C N 2008ASO00691OE C2008239 
NEW       21-020083 O US KY FRANKLIN         36 42 03.80N 086 23 15.79W TOWER              1 00255 00997 D 2 C N 2024ASO20358OE C2025263 
OLD       21-020090 O US KY MAGNOLIA         37 23 18.68N 085 45 39.71W TOWER              1 00255 01038 D 2 C N 2008ASO01073OE C2008268 
NEW       21-020090 O US KY MAGNOLIA         37 23 18.68N 085 45 39.71W TOWER              1 00255 01038 D 2 C N 2024ASO20944OE C2025263 
OLD       21-020092 O US KY GOSHEN           38 23 47.03N 085 35 17.26W TOWER              1 00258 00951 D 2 C N 2008ASO04642OE C2009039 
NEW       21-020092 O US KY GOSHEN           38 23 47.03N 085 35 17.26W TOWER              1 00258 00950 D 2 C N 2024ASO13528OE C2025263 
OLD       21-020093 O US KY SMITHS GROVE     37 07 58.86N 086 13 12.76W TOWER              1 00255 00904 D 2 C N 2007ASO06775OE C2008357 
NEW       21-020093 O US KY SMITHS GROVE     37 07 58.86N 086 13 12.76W TOWER              1 00255 00904 D 2 C N 2024ASO23299OE C2025263 
OLD       21-020095 O US KY RUSH             38 22 21.47N 082 49 34.84W TOWER              1 00257 01107 D 5 E N 2008ASO04948OE C2009121 
NEW       21-020095 O US KY RUSH             38 22 21.47N 082 49 34.84W TOWER              1 00253 01103 D 4 D N 2025ASO09562OE C2025263 
OLD       21-020100 O US KY SOMERSET         37 04 25.91N 084 30 38.13W TOWER              1 00255 01310 D 2 C N 2008ASO00693OE C2008358 
NEW       21-020100 O US KY SOMERSET         37 04 25.91N 084 30 38.13W TOWER              1 00246 01301 D 2 C N 2025ASO09844OE C2025273 
OLD       21-020102 O US KY CECILIA          37 42 18.41N 086 12 20.71W TOWER              1 00255 01094 D 2 C N 2008ASO01170OE C2009009 
NEW       21-020102 O US KY CECILIA          37 42 18.41N 086 12 20.71W TOWER              1 00255 01094 D 2 C N 2024ASO20356OE C2025263 
OLD       21-020103 O US KY GRAYSON          38 19 28.99N 083 01 46.75W TOWER              1 00315 01101 D 5 E N 2008ASO00596OE C2008358 
NEW       21-020103 O US KY GRAYSON          38 19 29.10N 083 01 47.30W TOWER              1 00300 01086 D 4 D N 2025ASO09707OE C2025264 
OLD       21-020105 O US KY TOMPKINSVILLE    36 45 08.19N 085 46 41.09W TOWER              1 00255 01263 D 2 C N 2008ASO00701OE C2009089 
NEW       21-020105 O US KY TOMPKINSVILLE    36 45 08.19N 085 46 41.09W TOWER              1 00255 01263 D 2 C N 2024ASO21046OE C2025263 
OLD       21-020121 O US KY SHARPSBURG       38 16 00.70N 083 50 35.54W TOWER              1 00295 01211 M 2 C N 2008ASO05890OE C2009131 
NEW       21-020121 O US KY SHARPSBURG       38 16 00.70N 083 50 35.54W TOWER              1 00295 01211 M 2 C N 2025ASO11408OE C2025280 
OLD       21-020122 O US KY BURNSIDE         36 53 58.62N 084 30 50.05W TOWER              1 00349 01575 D 5 E N 2007ASO04774OE C2009174 
NEW       21-020122 O US KY PARKERS LAKE     36 53 59.98N 084 30 50.02W TOWER              1 00348 01578 D 4 D N 2024ASO18004OE C2025263 
OLD       21-020131 O US KY LIBERTY          37 17 03.06N 084 57 12.12W TOWER              1 00255 01243 D 2 C N 2007ASO07025OE C2009165 
NEW       21-020131 O US KY LIBERTY          37 17 03.06N 084 57 12.12W TOWER              1 00244 01232 D 2 C N 2025ASO09833OE C2025273 
OLD       21-020154 O US KY LILY             37 02 08.50N 084 05 04.44W TOWER              1 00271 01521 M 1 A N 2009ASO01116OE C2013241 
NEW       21-020154 O US KY LONDON           37 02 08.50N 084 05 04.44W TOWER              1 00270 01521 M 1 A N 2024ASO13994OE C2025263 
OLD       21-020156 O US KY MILTON           38 42 06.92N 085 22 01.86W TOWER              1 00258 01144 D 5 D N 2009ASO02686OE C2009251 
NEW       21-020156 O US KY MILTON           38 42 06.91N 085 22 01.85W TOWER              1 00258 01144 D 4 D N 2025ASO01078OE C2025263 
OLD       21-020182 O US KY OLIVE HILL       38 24 01.10N 083 09 38.02W TOWER              1 00300 01276 D 1 A N 2008ASO01845OE C2010011 
NEW       21-020182 O US KY OLIVE HILL       38 24 01.10N 083 09 38.02W TOWER              1 00304 01280 D 1 A N 2025ASO07912OE C2025263 
OLD       21-020203 O US KY CADIZ            36 52 03.34N 087 42 12.49W TOWER              1 00225 00765 D 5 D N 2007ASO04245OE C2010061 
NEW       21-020203 O US KY CADIZ            36 52 03.34N 087 42 12.49W TOWER              1 00224 00764 D 4 D N 2025ASO09843OE C2025273 
OLD       21-020212 O US KY HENDERSON        37 41 30.08N 087 39 39.17W TOWER              1 00310 00774 D 5 D N 2009ASO03028OE C2010083 
NEW       21-020212 O US KY CORYDON          37 41 30.08N 087 39 39.17W TOWER              1 00309 00773 D 4 D N 2025ASO07973OE C2025263 
OLD       21-020215 O US KY BARDSTOWN        37 48 33.95N 085 34 51.63W TOWER              1 00280 00863 D 2 C N 2009ASO02417OE C2010196 
NEW       21-020215 O US KY BARDSTOWN        37 48 33.95N 085 34 51.63W TOWER              1 00269 00852 D 2 C N 2025ASO08866OE C2025263 
OLD       21-020217 O US KY GEORGETOWN       38 15 11.60N 084 37 40.01W TOWER              1 00258 01148 D 1 A N 2020ASO08223OE C2020114 
NEW       21-020217 O US KY GEORGETOWN       38 15 11.60N 084 37 40.01W TOWER              1 00258 01148 D 1 A N 2024ASO25226OE C2025263 
OLD       21-020219 O US KY NEW CASTLE       38 26 42.80N 085 10 39.26W TOWER              1 00265 01119 D 1 A N 2009ASO00708OE C2010162 
NEW       21-020219 O US KY NEW CASTLE       38 26 42.80N 085 10 39.26W TOWER              1 00265 01119 D 1 A N 2024ASO16776OE C2025263 
OLD       21-020220 O US KY COLUMBIA         37 11 40.67N 085 20 55.15W TOWER              1 00255 01077 D 2 C N 2009ASO00569OE C2010145 
NEW       21-020220 O US KY COLUMBIA         37 11 40.67N 085 20 55.15W TOWER              1 00255 01077 D 2 C N 2024ASO20355OE C2025263 
OLD       21-020221 O US KY MORGANTOWN       37 16 08.17N 086 40 27.43W TOWER              1 00244 00818 D 2 C N 2021ASO20621OE C2023069 
NEW       21-020221 O US KY MORGANTOWN       37 16 08.17N 086 40 27.43W TOWER              1 00244 00818 D 2 C N 2024ASO20326OE C2025262 
OLD       21-020222 O US KY HORSE CAVE       37 10 38.02N 085 55 14.38W TOWER              1 00255 01174 D 5 D N 2009ASO00047OE C2010083 
NEW       21-020222 O US KY HORSE CAVE       37 10 38.02N 085 55 14.38W TOWER              1 00255 01174 D 4 D N 2024ASO20186OE C2025263 
OLD       21-020226 O US KY AUSTIN           36 50 24.18N 085 56 34.30W TOWER              1 00255 01032 D 2 C N 2008ASO06296OE C2010083 
NEW       21-020226 O US KY AUSTIN           36 50 24.18N 085 56 34.30W TOWER              1 00255 01032 D 2 C N 2024ASO13851OE C2025263 
OLD       21-020228 U US KY HYDEN            37 09 53.10N 083 23 10.30W TOWER              1 00314 01734 D 4 D N 2008ASO06153OE C2014124 
NEW       21-020228 U US KY HYDEN            37 09 53.10N 083 23 10.30W TOWER              1 00314 01734 D 4 D N 2024ASO18012OE C2025263 
OLD       21-020233 O US KY LEWISBURG        37 03 33.73N 087 01 50.37W TOWER              1 00255 00911 D 2 C N 2008ASO05665OE C2010207 
NEW       21-020233 O US KY LEWISBURG        37 03 33.73N 087 01 50.37W TOWER              1 00255 00911 D 2 C N 2024ASO20948OE C2025263 
OLD       21-020271 O US KY GEORGETOWN       38 12 20.18N 084 36 21.06W TOWER              1 00198 01009 N 1 A N 2010ASO02109OE A2010132 
NEW       21-020271 O US KY GEORGETOWN       38 12 20.18N 084 36 21.06W TOWER              1 00198 01009 N 1 A N 2025ASO00189OE C2025263 
OLD       21-020274 O US KY TOMPKINSVILLE    36 44 16.20N 085 39 31.77W TOWER              1 00148 01186 N 2 C N 2009ASO07165OE A2010183 
NEW       21-020274 O US KY TOMPKINSVILLE    36 44 16.20N 085 39 31.77W TOWER              1 00145 01183 N 2 C N 2025ASO07550OE C2025263 
OLD       21-020276 O US KY MCQUADY          37 42 39.29N 086 31 34.64W TOWER              1 00255 00972 D 2 C N 2009ASO06289OE A2010190 
NEW       21-020276 O US KY HARDINSBURG      37 42 39.29N 086 31 34.64W TOWER              1 00255 00971 D 2 C N 2024ASO18992OE C2025263 
OLD       21-020278 O US KY COLUMBIA         37 06 15.98N 085 26 55.14W TOWER              1 00255 01049 D 2 C N 2009ASO05605OE A2010191 
NEW       21-020278 O US KY COLUMBIA         37 06 15.98N 085 26 55.14W TOWER              1 00255 01049 D 2 C N 2024ASO24166OE C2025263 
OLD       21-020281 O US KY HARLAN           36 49 12.65N 083 19 44.13W TOWER              1 00255 01992 D 1 A N 2010ASO02693OE C2016321 
NEW       21-020281 O US KY HARLAN           36 49 12.65N 083 19 44.13W TOWER              1 00257 01994 D 1 A N 2025ASO08838OE C2025265 
OLD       21-020286 O US KY MORGANTOWN       37 10 17.79N 086 46 48.73W TOWER              1 00295 00811 D 2 C N 2009ASO06537OE A2010232 
NEW       21-020286 O US KY MORGANTOWN       37 10 17.79N 086 46 48.73W TOWER              1 00295 00811 D 2 C N 2024ASO19283OE C2025263 
OLD       21-020297 O US KY KNIFLEY          37 14 29.29N 085 11 59.49W TOWER              1 00255 01116 D 2 C N 2009ASO07588OE A2010298 
NEW       21-020297 O US KY KNIFLEY          37 14 29.29N 085 11 59.49W TOWER              1 00247 01108 D 2 C N 2025ASO02332OE C2025263 
OLD       21-020319 O US KY DUNNVILLE        37 10 31.00N 085 00 11.54W TOWER              1 00255 01165 D 2 C N 2010ASO02408OE A2011083 
NEW       21-020319 O US KY DUNNVILLE        37 10 31.00N 085 00 11.54W TOWER              1 00255 01165 D 2 C N 2024ASO22840OE C2025263 
OLD       21-020348 O US KY WALLINS          36 50 10.50N 083 25 39.13W TOWER              1 00190 01844 N 5 E N 2010ASO03748OE A2011208 
NEW       21-020348 O US KY WALLINS          36 50 10.50N 083 25 39.13W TOWER              1 00190 01844 N 4 D N 2024ASO21440OE C2025267 
OLD       21-020350 O US KY OWENSBORO        37 46 19.45N 087 03 21.67W POLE               1 00199 00599 N 1 A N 2010ASO03530OE A2011214 
NEW       21-020350 O US KY OWENSBORO        37 46 19.45N 087 03 21.67W TOWER              1 00199 00599 N 1 A N 2024ASO11004OE C2025263 
OLD       21-020352 O US KY HOPKINSVILLE     36 53 09.40N 087 31 25.73W TOWER              1 00187 00778 N 1 A N 2013ASO00312OE C2018257 
NEW       21-020352 O US KY HOPKINSVILLE     36 53 09.40N 087 31 25.73W TOWER              1 00184 00775 N 1 A N 2024ASO13970OE C2025263 
OLD       21-020361 O US KY HOPKINSVILLE     36 51 10.93N 087 33 18.68W TOWER              1 00197 00740 N 1 A N 2010ASO03637OE A2011242 
NEW       21-020361 O US KY HOPKINSVILLE     36 51 10.93N 087 33 18.68W TOWER              1 00197 00740 N 1 A N 2024ASO20108OE C2025263 
OLD       21-020363 O US KY GLENS FORK       37 00 27.84N 085 15 14.60W TOWER              1 00255 01195 D 2 C N 2010ASO07024OE A2011242 
NEW       21-020363 O US KY GLENS FORK       37 00 27.84N 085 15 14.60W TOWER              1 00255 01195 D 2 C N 2024ASO18990OE C2025262 
OLD       21-020367 O US KY GREENVILLE       37 07 23.63N 087 07 44.68W POLE               1 00199 00817 N 5 D N 2011ASO02271OE A2011242 
NEW       21-020367 O US KY GREENVILLE       37 07 23.63N 087 07 44.68W TOWER              1 00199 00817 N 4 D N 2024ASO23250OE C2025262 
OLD       21-020369 O US KY BELTON           37 08 05.88N 087 01 05.19W TOWER              1 00255 00871 D 2 C N 2008ASO05664OE A2011242 
NEW       21-020369 O US KY BELTON           37 08 05.88N 087 01 05.19W TOWER              1 00248 00864 D 2 C N 2025ASO02669OE C2025263 
OLD       21-020372 O US KY NEW HAVEN        37 39 21.41N 085 30 54.97W TOWER              1 00290 00862 D 2 C N 2010ASO01843OE A2011265 
NEW       21-020372 O US KY NEW HAVEN        37 39 21.41N 085 30 54.97W TOWER              1 00290 00862 D 2 C N 2024ASO21930OE C2025263 
OLD       21-020373 O US KY HESTAND          36 39 32.07N 085 36 54.29W TOWER              1 00255 01287 D 2 C N 2010ASO07025OE A2011269 
NEW       21-020373 O US KY HESTAND          36 39 32.07N 085 36 54.29W TOWER              1 00255 01287 D 2 C N 2024ASO21043OE C2025263 
OLD       21-020374 O US KY SCOTTSVILLE      36 41 25.86N 086 04 02.05W TOWER              1 00255 01033 D 2 C N 2011ASO00680OE A2011269 
NEW       21-020374 O US KY SCOTTSVILLE      36 41 25.86N 086 04 02.05W TOWER              1 00255 01032 D 2 C N 2024ASO20357OE C2025263 
OLD       21-020389 O US KY WILLIAMSBURG     36 40 53.08N 084 08 46.52W TOWER              1 00193 01657 N 1 A N 2009ASO04928OE A2011341 
NEW       21-020389 O US KY WILLIAMSBURG     36 40 53.08N 084 08 46.52W TOWER              1 00193 01657 N 1 A N 2024ASO12674OE C2025263 
OLD       21-020392 O US KY AGES             36 51 29.61N 083 14 21.56W TOWER              1 00190 02100 N 5 E N 2010ASO06924OE A2011347 
NEW       21-020392 O US KY AGES             36 51 29.61N 083 14 21.56W TOWER              1 00190 02100 N 4 D N 2024ASO21445OE C2025267 
